ID,Site,Number,LT Notes,Tip angle PDLP/AW,Tip length (>25%) AW,Tip angle AW,AW notes,Member,Layer,Layer number,Relative stratigraphy,Raw materials,Raw materials 2,Tip damage,Knapping modality,Pseudollevallois Y or N,Number of scars,Orientation of the tip,Length,Width,New strat
0,Border Cave,1222,? Tip angle,62,,n,tip broken? ,2BS,Grass bed 2 within 2BSL,NA,6,B1,rhyolite,Y,Ind,N,M,C,71.35,34.7,2BS.LR
1,Border Cave,1390,,60,y,y,,2BS,Brown,NA,7,R2,rhyolite,N,Ind,N,M,C,,,2BS.LR
2,Border Cave,1396,,82,n,y,,2BS,Brown,NA,9,R1,rhyolite,N,D,N,2S,DR,61.95,41.66,2BS.LR
3,Border Cave,1400,? Tip angle,92,n,n,,2BS,Brown,NA,9,R2,rhyolite,N,L,N,M,C,68.27,37.62,2BS.LR
4,Border Cave,1405,,58,possible,y,,2BS,Brown,NA,9,R2,rhyolite,N,D,N,M,C,53.23,25.13,2BS.LR
5,Border Cave,1466,? Tip angle,46,,n,tip broken? ,2BS,Brown,NA,9,R2,rhyolite,Y,D,N,M,C,38.9,24.44,2BS.LR
6,Border Cave,1483,? Tip angle,64,,n,,2BS,Brown,NA,9,B2,rhyolite,N,L,N,M,C,45.23,33.53,2BS.LR
7,Border Cave,1486,,42,,n,,2BS,Brown,NA,9,B2,rhyolite,N,Ind,N,M,C,59.19,31.03,2BS.LR
8,Border Cave,1488,,72,n,y,,2BS,Brown,NA,7,R2,rhyolite,N,D,N,3S-Low,C,35.25,18.86,2BS.LR
9,Border Cave,1950,,44,y,y,,2WA,Light reddish brown,NA,8,Ind,rhyolite,N,D,N,2S,DL,45.58,24.6,2WA.UP
10,Border Cave,2040,,64,y,y,,2BS,Brown sand lower silty,NA,9,Ch,other,N,D,N,M,DL,70.5,42.56,2BS.LR
11,Border Cave,2295,,76,n,y,,2BS,Brown sand lower silty,NA,9,R2,rhyolite,N,D,N,3S-High,C,47.31,25.99,2BS.LR
12,Border Cave,2296,? ,30,,n,,2BS,Brown sand lower silty,NA,9,R2,rhyolite,N,D,N,2S,C,47.34,22.25,2BS.LR
13,Border Cave,2297,,78,n,y,,2BS,Brown sand lower silty,NA,9,B3,rhyolite,N,D,N,2S,DR,55.27,30.03,2BS.LR
14,Border Cave,2416,? Tip angle,92,n,y,,2BS,Brown sand lower silty,NA,9,R2,rhyolite,N,Ind,N,3S-High,C,43.21,25.32,2BS.LR
15,Border Cave,2936,,88,n,y,,2BS,Brown with organic inclusion,NA,9,R1,rhyolite,N,P,N,M,C,77.88,47.08,2WA.UP
16,Border Cave,2953,,68,possible,y,,2WA,Very dark greyish brown,NA,11,B2,rhyolite,N,D,N,3S-Mesial,DR,37.13,18.3,2WA.UP
17,Border Cave,3224,not in Paloma original spreadsheet,not recorded,y,y,use wear/edge damaged margin,3BS,Ea,NA,15,R2,rhyolite,N,P,N,M,C,,,3BS
18,Border Cave,3300,,not recorded,,n,tip broken,2WA,Devo,NA,8,Ind,rhyolite,Y,D,N,M,DL,,25.64,2WA.LR
19,Border Cave,3307,,90,n,y,,2WA,Dabby,NA,10,Ind,rhyolite,N,D,N,M,C,32.23,28.42,2WA.UP
20,Border Cave,3594,not in Paloma original spreadsheet,not recorded,n,y,,3BS,Eba,NA,16,R1,rhyolite,Y,D,N,3S-High,DL,,,3BS
21,Border Cave,4001,,not recorded,,n,tip broken? ,2WA,Dijon,NA,12,B1,rhyolite,Y,Ind,N,M,DL,,20.87,2WA.MD
22,Border Cave,4082,,60,y,y,,2BS,Cecil,NA,2,B3,rhyolite,N,P,N,M,C,71,30.26,2BS.LR
23,Border Cave,4145,,82,n,y,,2WA,Dijon,NA,12,B1,rhyolite,N,D,N,3S-High,DR,45.3,26.12,2WA.MD
24,Border Cave,4174,,68,n,y,,2WA,Dazy,NA,12,B1,rhyolite,N,Ind,N,M,C,40.91,20.14,2WA.UP
25,Border Cave,4273,,not recorded,n,y,,2WA,Dino,NA,12,R2,rhyolite,Y,D,N,2S,C,34.65,23.88,2WA.LR
26,Border Cave,442,? Tip angle,not recorded,n,n,,2BS,Orange silty,NA,5,B1,rhyolite,Y,D,N,3S-High,C,,25.15,2WA.UP
27,Border Cave,445,,48,y,y,,2BS,Dark greyish brown,NA,6,B2,rhyolite,N,L,N,3S-Mesial,C,59.7,36.55,2BS.LR
28,Border Cave,4537,,62,n,y,,2BS,Chloe,NA,4,Gr,rhyolite,N,D,N,2S,DL,80.33,69.28,2BS.LR
29,Border Cave,4565,,88,n,y,,2WA,Desmond,NA,13,R2,rhyolite,N,D,N,3S-Low,C,62.51,27.33,2WA.UP
30,Border Cave,4710/5050,refitting,not recorded,possible,yes,refit,2WA,Dudi-Dossy,NA,13,Gr,rhyolite,N,LR,N,M,C,89.34,34.91,2WA.LR
31,Border Cave,4827,,not recorded,,n,tip broken,2WA,Dossy,NA,13,S,rhyolite,Y,L,N,M,C,,26.17,3BS
32,Border Cave,5036,,not recorded,n,y,,2WA,Dossy,NA,13,Ind,rhyolite,Y,D,N,M,C,40.85,31.38,3BS
33,Border Cave,5155,,not recorded,n,y,,2BS,Cilla,NA,2,Gr,rhyolite,Y,D,N,2S,DL,,24.76,2BS.LR
34,Border Cave,5259,,58,n,n,,2BS,Ceta,NA,3,B3,rhyolite,N,D,N,M,C,48.23,30.03,2BS.LR
35,Border Cave,5269,,60,,n,tip broken,2BS,Ceta,NA,3,H,other,Y,Ind,N,2S,C,,25.91,2BS.LR
36,Border Cave,5344,,74,y,y,"tiny tip missing, burinated?",2BS,Clara,NA,4,Gr,rhyolite,N,D,N,M,DL,68.38,42.76,2BS.LR
37,Border Cave,5348,,58,y,y,tiny tip missing,2BS,Clara,NA,4,B4,other,N,P,N,M,C,69.37,28.51,2BS.LR
38,Border Cave,5406,? Tip angle,38,n,n,,2BS,Cilla,NA,2,B2,rhyolite,N,D,N,2S,DL,34.97,29.32,2BS.LR
39,Border Cave,5408,Remove (tip angle),not recorded,n,n,,2BS,Cilla,NA,2,Ind,rhyolite,Y,Ind,N,3S-Mesial,C,62.04,50.03,2BS.LR
40,Border Cave,543,,80,y,y,,2BS,Dark greyish brown,NA,6,B2,rhyolite,N,L,N,M,C,68.68,36.05,2BS.LR
41,Border Cave,5441,,68,n,y,,2BS,Cilla,NA,2,B4,other,N,P,N,M,DR,88.71,47.9,2BS.LR
